name,company,street,postcode,city,country,capacity,energy_source,technology,chp,commissioned,type,lat,lon,eic_code,energy_source_level_1,energy_source_level_2,energy_source_level_3,additional_info,comment,source
"PENLY 2",,,,,FR,1330,Nuclear,"Steam turbine",,,,49.97599,1.21025,17W100P100P0226J,Nuclear,,,,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html
"ST ALBAN 1",,,,,FR,1335,Nuclear,"Steam turbine",,,,45.40523,4.75527,17W100P100P0227H,Nuclear,,,,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html
"ST ALBAN 2",,,,,FR,1335,Nuclear,"Steam turbine",,,,45.40523,4.75527,17W100P100P0228F,Nuclear,,,,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html
"ST LAURENT 1",,,,,FR,915,Nuclear,"Steam turbine",,,,47.72006,1.58009,17W100P100P0229D,Nuclear,,,,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html
"ST LAURENT 2",,,,,FR,915,Nuclear,"Steam turbine",,,,47.72006,1.58009,17W100P100P0230S,Nuclear,,,,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html
"TRICASTIN 1",,,,,FR,915,Nuclear,"Steam turbine",,,,44.32906,4.72605,17W100P100P0231Q,Nuclear,,,,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html
"TRICASTIN 2",,,,,FR,915,Nuclear,"Steam turbine",,,,44.32906,4.72605,17W100P100P0232O,Nuclear,,,,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html
"TRICASTIN 3",,,,,FR,915,Nuclear,"Steam turbine",,,,44.32906,4.72605,17W100P100P0233M,Nuclear,,,,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html
"TRICASTIN 4",,,,,FR,915,Nuclear,"Steam turbine",,,,44.32906,4.72605,17W100P100P0234K,Nuclear,,,,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html
"CYCOFOS TV2",,,,,FR,62,"Other or unspecified energy sources",,,2009,,43.42801,4.88652,17W100P100P0352E,"Other or unspecified energy sources",,,,,https://www.services-rte.com/en/view-data-published-by-rte/production-installed-capacity.html
